study	reference	condition	hormone	glc_unit	glc	mean	se	unit
DoseResponse	Jones1998	normal	epinephrine	mM	4.73	114.78	30.61	pM
DoseResponse	Jones1998	normal	epinephrine	mM	4.84	145.39	34.43	pM
DoseResponse	Jones1998	normal	epinephrine	mM	4.46	260.17	57.39	pM
DoseResponse	Jones1998	normal	epinephrine	mM	3.16	761.38	198.95	pM
DoseResponse	Jones1998	normal	epinephrine	mM	3.27	1530.42	294.61	pM
DoseResponse	Jones1998	normal	epinephrine	mM	3.0	2081.37	474.43	pM
DoseResponse	Jones1998	normal	epinephrine	mM	3.05	2475.46	279.3	pM
DoseResponse	Lerche2009	normal	epinephrine	mM	5.00136	158.2576995	20.769514	pM
DoseResponse	Lerche2009	normal	epinephrine	mM	4.64256	155.128255	18.7949245	pM
DoseResponse	Lerche2009	normal	epinephrine	mM	4.24283	224.200247	78.139702	pM
DoseResponse	Lerche2009	normal	epinephrine	mM	4.26057	160.7314	22.7567475	pM
DoseResponse	Lerche2009	normal	epinephrine	mM	3.83627	281.238966	91.0072065	pM
DoseResponse	Lerche2009	normal	epinephrine	mM	3.8131	174.2474545	36.5952785	pM
DoseResponse	Lerche2009	normal	epinephrine	mM	3.95362	150.343046	10.882015	pM
DoseResponse	Levy1998	normal	epinephrine	mM	5.0	188.44753	NA	pM
DoseResponse	Levy1998	normal	epinephrine	mM	4.4	249.12009	NA	pM
DoseResponse	Levy1998	normal	epinephrine	mM	3.9	405.60101	NA	pM
DoseResponse	Levy1998	normal	epinephrine	mM	3.3	945.3764	NA	pM
DoseResponse	Levy1998	normal	epinephrine	mM	2.8	3289.42114	NA	pM
DoseResponse	Levy1998	normal	epinephrine	mM	2.2	5138.57764	NA	pM
DoseResponse	Levy1998	normal	epinephrine	mM	4.4	328.99088	NA	pM
DoseResponse	Levy1998	normal	epinephrine	mM	3.9	485.41086	NA	pM
DoseResponse	Levy1998	normal	epinephrine	mM	3.3	865.47516	NA	pM
DoseResponse	Levy1998	normal	epinephrine	mM	2.8	3241.54736	NA	pM
DoseResponse	Levy1998	normal	epinephrine	mM	2.2	5553.7168	NA	pM
DoseResponse	Mitrakou1991	normal	epinephrine	mM	5.33	268.29	199.11	pM
DoseResponse	Mitrakou1991	normal	epinephrine	mM	5.33	269.64	232.48	pM
DoseResponse	Mitrakou1991	normal	epinephrine	mM	5.33	304.1	232.56	pM
DoseResponse	Mitrakou1991	normal	epinephrine	mM	4.8	273.85	99.51	pM
DoseResponse	Mitrakou1991	normal	epinephrine	mM	4.31	276.63	165.91	pM
DoseResponse	Mitrakou1991	normal	epinephrine	mM	4.37	478.52	199.19	pM
DoseResponse	Mitrakou1991	normal	epinephrine	mM	3.84	813.29	298.87	pM
DoseResponse	Mitrakou1991	normal	epinephrine	mM	3.68	1247.57	265.67	pM
DoseResponse	Mitrakou1991	normal	epinephrine	mM	3.59	1482.74	232.31	pM
DoseResponse	Mitrakou1991	normal	epinephrine	mM	3.24	2381.8	398.47	pM
DoseResponse	Mitrakou1991	normal	epinephrine	mM	3.06	3015.45	265.51	pM
DoseResponse	Mitrakou1991	normal	epinephrine	mM	3.07	4113.71	464.87	pM
DoseResponse	Mitrakou1991	normal	epinephrine	mM	2.57	4382.08	564.38	pM
DoseResponse	Mitrakou1991	normal	epinephrine	mM	2.4	6742.14	663.98	pM
DoseResponse	Mitrakou1991	normal	epinephrine	mM	2.41	6047.66	431.58	pM
DoseResponse	Segel2002	normal	epinephrine	mM	4.5	207.1	70.85	pM
DoseResponse	Segel2002	normal	epinephrine	mM	4.11	228.9	54.5	pM
DoseResponse	Segel2002	normal	epinephrine	mM	4.28	245.25	54.5	pM
DoseResponse	Segel2002	normal	epinephrine	mM	3.67	604.95	207.1	pM
DoseResponse	Segel2002	normal	epinephrine	mM	3.78	801.15	190.75	pM
DoseResponse	Segel2002	normal	epinephrine	mM	3.22	1471.5	348.8	pM
DoseResponse	Segel2002	normal	epinephrine	mM	3.11	1923.85	228.9	pM
DoseResponse	Segel2002	normal	epinephrine	mM	2.56	3967.6	403.3	pM
DoseResponse	Segel2002	normal	epinephrine	mM	2.44	4523.5	430.55	pM
DoseResponse	Segel2002	normal	epinephrine	mM	4.39	201.65	38.15	pM
DoseResponse	Segel2002	normal	epinephrine	mM	4.17	185.3	43.6	pM
DoseResponse	Segel2002	normal	epinephrine	mM	4.28	218.0	43.6	pM
DoseResponse	Segel2002	normal	epinephrine	mM	3.5	277.95	70.85	pM
DoseResponse	Segel2002	normal	epinephrine	mM	3.56	376.05	114.45	pM
DoseResponse	Segel2002	normal	epinephrine	mM	3.06	599.5	152.6	pM
DoseResponse	Segel2002	normal	epinephrine	mM	2.94	1237.15	397.85	pM
DoseResponse	Segel2002	normal	epinephrine	mM	2.56	2005.6	381.5	pM
DoseResponse	Segel2002	normal	epinephrine	mM	2.33	3199.15	452.35	pM
DoseResponse	Jones1998	normal	epinephrine	mM	5.01	145.39	0.0	pM
DoseResponse	Jones1998	normal	epinephrine	mM	4.95	99.48	30.61	pM
DoseResponse	Jones1998	normal	epinephrine	mM	4.47	107.13	30.61	pM
DoseResponse	Jones1998	normal	epinephrine	mM	3.37	110.96	42.09	pM
DoseResponse	Jones1998	normal	epinephrine	mM	3.2	237.22	149.22	pM
DoseResponse	Jones1998	normal	epinephrine	mM	2.99	352.0	91.83	pM
DoseResponse	Jones1998	normal	epinephrine	mM	2.88	501.21	264.0	pM
