study	reference	condition	hormone	glc_unit	glc	mean	se	unit
DoseResponse	Fery1993	normal	glucagon	mM	4.92	48.62	NA	pM
DoseResponse	Fery1993	normal	glucagon	mM	4.57	46.84	NA	pM
DoseResponse	Fery1993	normal	glucagon	mM	4.89	46.93	NA	pM
DoseResponse	Fery1993	normal	glucagon	mM	5.09	47.02	NA	pM
DoseResponse	Gerich1993	normal	glucagon	mM	5.8	42.55	2.99	pM
DoseResponse	Gerich1993	normal	glucagon	mM	5.84	43.27	3.74	pM
DoseResponse	Gerich1993	normal	glucagon	mM	5.79	43.0	3.49	pM
DoseResponse	Gerich1993	normal	glucagon	mM	9.2	35.14	2.86	pM
DoseResponse	Gerich1993	normal	glucagon	mM	9.28	32.26	3.36	pM
DoseResponse	Gerich1993	normal	glucagon	mM	8.42	29.62	2.37	pM
DoseResponse	Gerich1993	normal	glucagon	mM	7.24	28.73	2.24	pM
DoseResponse	Gerich1993	normal	glucagon	mM	6.24	29.58	2.37	pM
DoseResponse	Gerich1993	normal	glucagon	mM	5.61	30.18	2.61	pM
DoseResponse	Gerich1993	normal	glucagon	mM	4.65	35.14	2.61	pM
DoseResponse	Gerich1993	normal	glucagon	mM	4.33	36.61	2.74	pM
DoseResponse	Gerich1993	normal	glucagon	mM	4.73	42.19	3.36	pM
DoseResponse	Gerich1993	normal	glucagon	mM	4.94	41.3	3.11	pM
DoseResponse	Henkel2005	normal	glucagon	mM	5.76	37.84	0.59	pM
DoseResponse	Henkel2005	normal	glucagon	mM	7.48	40.43	1.78	pM
DoseResponse	Henkel2005	normal	glucagon	mM	6.68	32.92	1.19	pM
DoseResponse	Henkel2005	normal	glucagon	mM	5.03	41.97	1.78	pM
DoseResponse	Knop2007	normal	glucagon	mM	5.39	7.42	NA	pM
DoseResponse	Knop2007	normal	glucagon	mM	5.34	7.58	NA	pM
DoseResponse	Knop2007	normal	glucagon	mM	5.34	7.44	NA	pM
DoseResponse	Knop2007	normal	glucagon	mM	7.01	7.0	NA	pM
DoseResponse	Knop2007	normal	glucagon	mM	8.97	6.49	NA	pM
DoseResponse	Knop2007	normal	glucagon	mM	9.63	5.5	NA	pM
DoseResponse	Knop2007	normal	glucagon	mM	8.42	5.03	NA	pM
DoseResponse	Knop2007	normal	glucagon	mM	6.55	4.89	NA	pM
DoseResponse	Knop2007	normal	glucagon	mM	5.0	5.28	NA	pM
DoseResponse	Knop2007	normal	glucagon	mM	4.39	5.97	NA	pM
DoseResponse	Knop2007	normal	glucagon	mM	4.35	7.17	NA	pM
DoseResponse	Knop2007	normal	glucagon	mM	4.69	7.58	NA	pM
DoseResponse	Mitrakou1992	normal	glucagon	mM	5.34	41.88	2.64	pM
DoseResponse	Mitrakou1992	normal	glucagon	mM	5.37	43.28	3.19	pM
DoseResponse	Mitrakou1992	normal	glucagon	mM	5.39	42.92	3.3	pM
DoseResponse	Mitrakou1992	normal	glucagon	mM	8.5	32.79	2.64	pM
DoseResponse	Mitrakou1992	normal	glucagon	mM	9.14	29.68	2.64	pM
DoseResponse	Mitrakou1992	normal	glucagon	mM	8.26	25.81	2.64	pM
DoseResponse	Mitrakou1992	normal	glucagon	mM	7.13	26.0	2.97	pM
DoseResponse	Mitrakou1992	normal	glucagon	mM	5.93	27.62	2.53	pM
DoseResponse	Mitrakou1992	normal	glucagon	mM	5.28	27.7	2.31	pM
DoseResponse	Mitrakou1992	normal	glucagon	mM	4.46	31.74	4.29	pM
DoseResponse	Mitrakou1992	normal	glucagon	mM	4.17	34.68	3.84	pM
DoseResponse	Mitrakou1992	normal	glucagon	mM	4.58	37.95	4.07	pM
DoseResponse	Mitrakou1992	normal	glucagon	mM	4.76	37.26	3.41	pM
DoseResponse	Segel2002	normal	glucagon	mM	4.5	17.22	2.87	pM
DoseResponse	Segel2002	normal	glucagon	mM	4.11	17.79	2.58	pM
DoseResponse	Segel2002	normal	glucagon	mM	4.28	17.79	3.16	pM
DoseResponse	Segel2002	normal	glucagon	mM	3.67	20.37	4.02	pM
DoseResponse	Segel2002	normal	glucagon	mM	3.78	20.09	0.57	pM
DoseResponse	Segel2002	normal	glucagon	mM	3.22	19.51	2.87	pM
DoseResponse	Segel2002	normal	glucagon	mM	3.11	25.25	4.3	pM
DoseResponse	Segel2002	normal	glucagon	mM	2.56	30.13	5.16	pM
DoseResponse	Segel2002	normal	glucagon	mM	2.44	26.69	4.3	pM
DoseResponse	Segel2002	normal	glucagon	mM	4.39	13.49	1.43	pM
DoseResponse	Segel2002	normal	glucagon	mM	4.17	13.77	1.43	pM
DoseResponse	Segel2002	normal	glucagon	mM	4.28	12.91	1.43	pM
DoseResponse	Segel2002	normal	glucagon	mM	3.5	14.63	1.15	pM
DoseResponse	Segel2002	normal	glucagon	mM	3.56	13.2	1.72	pM
DoseResponse	Segel2002	normal	glucagon	mM	3.06	13.2	1.72	pM
DoseResponse	Segel2002	normal	glucagon	mM	2.94	18.08	12.34	pM
DoseResponse	Segel2002	normal	glucagon	mM	2.56	19.8	3.44	pM
DoseResponse	Segel2002	normal	glucagon	mM	2.33	20.95	2.87	pM
DoseResponse	ToftNielsen2001	normal	glucagon	mM	5.89831	8.47	0.68	pM
DoseResponse	ToftNielsen2001	normal	glucagon	mM	5.78402	10.79	0.68	pM
DoseResponse	ToftNielsen2001	normal	glucagon	mM	6.43525	12.98	0.96	pM
DoseResponse	ToftNielsen2001	normal	glucagon	mM	6.97744	13.93	0.55	pM
DoseResponse	ToftNielsen2001	normal	glucagon	mM	7.3003	12.57	0.82	pM
DoseResponse	ToftNielsen2001	normal	glucagon	mM	7.18626	12.02	0.55	pM
DoseResponse	ToftNielsen2001	normal	glucagon	mM	7.07298	10.93	0.55	pM
DoseResponse	ToftNielsen2001	normal	glucagon	mM	6.51953	12.3	0.41	pM
DoseResponse	ToftNielsen2001	normal	glucagon	mM	6.2942	9.7	0.55	pM
DoseResponse	ToftNielsen2001	normal	glucagon	mM	5.95934	9.29	0.82	pM
DoseResponse	ToftNielsen2001	normal	glucagon	mM	5.8433	10.25	0.82	pM
DoseResponse	ToftNielsen2001	normal	glucagon	mM	5.727	9.84	0.82	pM
DoseResponse	ToftNielsen2001	normal	glucagon	mM	5.61096	9.56	0.82	pM
DoseResponse	ToftNielsen2001	normal	glucagon	mM	5.37863	9.02	0.68	pM
DoseResponse	ToftNielsen2001	normal	glucagon	mM	5.36513	8.47	0.68	pM
DoseResponse	ToftNielsen2001	normal	glucagon	mM	5.24183	8.47	0.41	pM
