study	reference	condition	hormone	glc_unit	glc	mean	se	unit
DoseResponse	Ferrannini1988	normal	insulin	mM	9.25	506.29	64.59	pM
DoseResponse	Ferrannini1988	normal	insulin	mM	8.33	455.14	96.91	pM
DoseResponse	Ferrannini1988	normal	insulin	mM	7.92	395.37	88.29	pM
DoseResponse	Ferrannini1988	normal	insulin	mM	6.86	348.53	77.53	pM
DoseResponse	Ferrannini1988	normal	insulin	mM	5.68	224.16	49.53	pM
DoseResponse	Fery1993	normal	insulin	mM	5.52	113.11		pM
DoseResponse	Fery1993	normal	insulin	mM	7.67	466.79		pM
DoseResponse	Fery1993	normal	insulin	mM	9.69	645.4		pM
DoseResponse	Fery1993	normal	insulin	mM	10.8	805.87		pM
DoseResponse	Fery1993	normal	insulin	mM	10.63	782.21		pM
DoseResponse	Fery1993	normal	insulin	mM	8.57	707.65		pM
DoseResponse	Fery1993	normal	insulin	mM	7.36	527.4		pM
DoseResponse	Fery1993	normal	insulin	mM	6.41	389.32		pM
DoseResponse	Fery1993	normal	insulin	mM	5.33	251.35		pM
DoseResponse	Fery1993	normal	insulin	mM	4.92	143.66		pM
DoseResponse	Fery1993	normal	insulin	mM	4.57	120.38		pM
DoseResponse	Fery1993	normal	insulin	mM	4.89	97.1		pM
DoseResponse	Fery1993	normal	insulin	mM	5.09	91.96		pM
DoseResponse	Gerich1993	normal	insulin	mM	5.8	54.25	16.02	pM
DoseResponse	Gerich1993	normal	insulin	mM	5.84	54.07	13.89	pM
DoseResponse	Gerich1993	normal	insulin	mM	5.79	60.3	12.82	pM
DoseResponse	Gerich1993	normal	insulin	mM	9.2	326.11	34.18	pM
DoseResponse	Gerich1993	normal	insulin	mM	9.28	357.99	43.8	pM
DoseResponse	Gerich1993	normal	insulin	mM	8.42	264.87	37.39	pM
DoseResponse	Gerich1993	normal	insulin	mM	7.24	190.98	30.98	pM
DoseResponse	Gerich1993	normal	insulin	mM	6.24	124.58	23.5	pM
DoseResponse	Gerich1993	normal	insulin	mM	5.61	77.39	23.5	pM
DoseResponse	Gerich1993	normal	insulin	mM	4.65	47.31	17.1	pM
DoseResponse	Gerich1993	normal	insulin	mM	4.33	41.78	16.03	pM
DoseResponse	Gerich1993	normal	insulin	mM	4.73	44.8	17.09	pM
DoseResponse	Gerich1993	normal	insulin	mM	4.94	43.56	17.09	pM
DoseResponse	Henkel2005	normal	insulin	mM	5.76	61.28	15.32	pM
DoseResponse	Henkel2005	normal	insulin	mM	7.48	344.89	25.53	pM
DoseResponse	Henkel2005	normal	insulin	mM	6.68	452.77	132.77	pM
DoseResponse	Henkel2005	normal	insulin	mM	5.91	322.98	142.97	pM
DoseResponse	Henkel2005	normal	insulin	mM	5.03	126.8	81.7	pM
DoseResponse	Henkel2005	normal	insulin	mM	5.37	58.72	35.74	pM
DoseResponse	Knop2007	normal	insulin	mM	5.39	37.56	7.52	pM
DoseResponse	Knop2007	normal	insulin	mM	5.34	38.38	6.68	pM
DoseResponse	Knop2007	normal	insulin	mM	5.34	39.19	5.84	pM
DoseResponse	Knop2007	normal	insulin	mM	6.13	110.14	17.54	pM
DoseResponse	Knop2007	normal	insulin	mM	7.97	227.85	28.39	pM
DoseResponse	Knop2007	normal	insulin	mM	8.97	256.21	30.06	pM
DoseResponse	Knop2007	normal	insulin	mM	9.43	296.26	39.25	pM
DoseResponse	Knop2007	normal	insulin	mM	8.88	313.77	50.1	pM
DoseResponse	Knop2007	normal	insulin	mM	8.42	291.19	49.27	pM
DoseResponse	Knop2007	normal	insulin	mM	7.5	219.34	40.92	pM
DoseResponse	Knop2007	normal	insulin	mM	6.55	133.27	35.91	pM
DoseResponse	Knop2007	normal	insulin	mM	5.0	54.68	12.52	pM
DoseResponse	Knop2007	normal	insulin	mM	4.39	26.2	2.5	pM
DoseResponse	Knop2007	normal	insulin	mM	4.35	25.27	3.34	pM
DoseResponse	Knop2007	normal	insulin	mM	4.69	22.58	4.18	pM
DoseResponse	Mitrakou1992	normal	insulin	mM	5.34	45.31	17.36	pM
DoseResponse	Mitrakou1992	normal	insulin	mM	5.37	46.99	15.17	pM
DoseResponse	Mitrakou1992	normal	insulin	mM	5.39	48.62	17.36	pM
DoseResponse	Mitrakou1992	normal	insulin	mM	8.5	399.73	42.82	pM
DoseResponse	Mitrakou1992	normal	insulin	mM	9.14	451.93	43.24	pM
DoseResponse	Mitrakou1992	normal	insulin	mM	8.26	356.84	43.82	pM
DoseResponse	Mitrakou1992	normal	insulin	mM	7.13	233.22	33.66	pM
DoseResponse	Mitrakou1992	normal	insulin	mM	5.93	127.18	25.62	pM
DoseResponse	Mitrakou1992	normal	insulin	mM	5.28	82.69	23.76	pM
DoseResponse	Mitrakou1992	normal	insulin	mM	4.46	57.97	26.15	pM
DoseResponse	Mitrakou1992	normal	insulin	mM	4.17	48.62	19.59	pM
DoseResponse	Mitrakou1992	normal	insulin	mM	4.58	50.26	17.33	pM
DoseResponse	Mitrakou1992	normal	insulin	mM	4.76	47.51	19.58	pM
